dbn,school_name,num_of_sat_test_takers,critical_reading_mean,math_mean,writing_mean,building_code,location_name,location_code,address,geographical_district_code,postcode,latitude,longitude,geo_cat_code
18K576,VICTORY COLLEGIATE HIGH SCHOOL,63,387,377,379,K515,Victory Collegiate High School,K576,6565 FLATLANDS AVENUE,18,11236,40.633285,-73.916735,17-20
18K578,BROOKLYN BRIDGE ACADEMY,17,384,362,351,K515,Brooklyn Bridge Academy,K578,6565 FLATLANDS AVENUE,18,11236,40.633285,-73.916735,17-20
18K589,ARTS & MEDIA PREPARATORY ACADEMY,48,361,360,359,K232,Arts & Media Preparatory Academy,K589,905 WINTHROP STREET,18,11203,40.65843,-73.929076,17-20
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,404,393,386,K500,High School for Innovation in Advertising and Medi,K617,1600 ROCKAWAY PARKWAY,18,11236,40.641474,-73.898254,17-20
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33,393,395,381,K415,Cultural Academy for the Arts and Sciences,K629,5800 TILDEN AVENUE,18,11203,40.648657,-73.922171,17-20
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75,386,380,393,K500,High School for Medical Professions,K633,1600 ROCKAWAY PARKWAY,18,11236,40.641474,-73.898254,17-20
18K635,OLYMPUS ACADEMY,7,400,370,370,K242,Olympus Academy,K635,755 EAST  100 STREET,18,11236,40.645685,-73.8989,17-20
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35,363,381,367,K515,Academy for Conservation and the Environment,K637,6565 FLATLANDS AVENUE,18,11236,40.633285,-73.916735,17-20
18K642,URBAN ACTION ACADEMY,40,376,385,374,K500,Urban Action Academy,K642,1600 ROCKAWAY PARKWAY,18,11236,40.641474,-73.898254,17-20
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12,410,403,378,K860,East Brooklyn Community High School,K673,9517 KINGS HIGHWAY,18,11212,40.65911,-73.920368,17-20
19K409,EAST NEW YORK FAMILY ACADEMY,54,416,432,394,K819,East New York Family Academy,K409,2057 LINDEN BOULEVARD,19,11207,40.661072,-73.886942,17-20
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,341,349,333,K435,FDNY High School for Fire and Life Safety,K502,400 PENNSYLVANIA AVENUE,19,11207,40.667456,-73.894747,17-20
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47,363,349,342,K435,High School for Civil Rights,K504,400 PENNSYLVANIA AVENUE,19,11207,40.667456,-73.894747,17-20
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,380,386,383,K435,Performing Arts and Technology High School,K507,400 PENNSYLVANIA AVENUE,19,11207,40.667456,-73.894747,17-20
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68,371,365,370,K435,World Academy for Total Community Health High Scho,K510,400 PENNSYLVANIA AVENUE,19,11207,40.667456,-73.894747,17-20
19K583,MULTICULTURAL HIGH SCHOOL,29,279,322,286,K420,Multicultural High School,K583,999 JAMAICA AVENUE,19,11208,40.691146,-73.868328,17-20
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182,395,418,380,K615,Transit Tech Career and Technical Education High S,K615,1 WELLS STREET,19,11208,40.678276,-73.87596,17-20
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60,371,371,354,K420,Academy of Innovative Technology,K618,999 JAMAICA AVENUE,19,11208,40.691146,-73.868328,17-20
19K639,BROOKLYN LAB SCHOOL,57,360,385,363,K420,Brooklyn Lab School,K639,999 JAMAICA AVENUE,19,11208,40.691146,-73.868328,17-20
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51,376,385,368,K420,Cypress Hills Collegiate Preparatory School,K659,999 JAMAICA AVENUE,19,11208,40.691146,-73.868328,17-20
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,370,369,363,K660,W. H. Maxwell Career and Technical Education High,K660,145 PENNSYLVANIA AVENUE,19,11207,40.674135,-73.89643,17-20
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38,383,400,374,K218,"The School for Classics: An Academy of Thinkers, W",K683,370 FOUNTAIN AVENUE,19,11208,40.670724,-73.874208,17-20
20K445,NEW UTRECHT HIGH SCHOOL,456,402,471,399,K445,New Utrecht High School,K445,1601 80 STREET,20,11214,40.613262,-74.003404,17-20
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238,425,474,424,K485,High School of  Telecommunication Arts and Technol,K485,350 67 STREET,20,11220,40.637282,-74.023849,17-20
20K490,FORT HAMILTON HIGH SCHOOL,694,417,478,411,K490,Fort Hamilton High School,K490,8301 SHORE ROAD,20,11209,40.627835,-74.040046,17-20
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385,383,486,375,K505,Franklin Delano Roosevelt High School,K505,5800 20 AVENUE,20,11204,40.620446,-73.981795,17-20
20K658,FRANKLIN DELANO ROOSEVELT YABC,18,338,477,316,K505,Franklin Delano Roosevelt YABC,K658,5800 20 AVENUE,20,11204,40.620446,-73.981795,17-20
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54,326,386,314,K400,International High School at Lafayette,K337,2630 BENSON AVENUE,21,11214,40.594291,-73.98577,21-24
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54,402,427,408,K303,Rachel Carson High School for Coastal Studies,K344,521 WEST AVENUE,21,11224,40.582533,-73.973132,21-24
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39,388,398,378,K400,High School of Sports Management,K348,2630 BENSON AVENUE,21,11214,40.594291,-73.98577,21-24
21K410,ABRAHAM LINCOLN HIGH SCHOOL,475,396,437,393,K410,Abraham Lincoln High School,K410,2800 OCEAN PARKWAY,21,11235,40.581681,-73.967308,21-24
21K525,EDWARD R. MURROW HIGH SCHOOL,727,468,496,467,K525,Edward R. Murrow High School,K525,1600 AVENUE L,21,11230,40.620525,-73.959285,21-24
21K540,JOHN DEWEY HIGH SCHOOL,448,404,468,390,K540,John Dewey High School,K540,50 AVENUE X,21,11223,40.589268,-73.981738000000007,21-24
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40,384,375,365,K400,Life Academy High School for Film and Music,K559,2630 BENSON AVENUE,21,11214,40.594291,-73.98577,21-24
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40,353,370,356,K400,Expeditionary Learning School for Community Leader,K572,2630 BENSON AVENUE,21,11214,40.594291,-73.98577,21-24
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95,394,414,376,K620,William E. Grady Career and Technical Education Hi,K620,25 BRIGHTON  4TH ROAD,21,11235,40.582585,-73.963477,21-24
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119,429,449,435,K721,Brooklyn Studio Secondary School,K690,8310 21ST AVENUE,21,11214,40.604879,-73.994404,21-24
21K728,LIBERATION DIPLOMA PLUS,10,411,369,373,K728,Liberation Diploma Plus,K728,2865 WEST 19TH STREET,21,11224,40.577208,-73.985953,21-24
22K405,MIDWOOD HIGH SCHOOL,824,478,519,476,K405,Midwood High School,K405,2839 BEDFORD AVENUE,22,11210,40.633237,-73.952929,21-24
22K425,JAMES MADISON HIGH SCHOOL,518,436,475,439,K425,James Madison High School,K425,3787 BEDFORD AVENUE,22,11229,40.609912,-73.948512,21-24
22K495,SHEEPSHEAD BAY HIGH SCHOOL,236,383,392,370,K495,Sheepshead Bay High School,K495,3000 AVENUE X,22,11235,40.594124,-73.937696,21-24
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,561,542,K535,Leon M. Goldstein High School for the Sciences,K535,1830 SHORE BOULEVARD,22,11235,40.580894,-73.935952,21-24
22K555,BROOKLYN COLLEGE ACADEMY,131,456,456,440,K917,Brooklyn College Academy,K555,350 CONEY ISLAND AVENUE,15,11218,40.649404,-73.971736,13-16
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60,389,409,387,K055,Brooklyn Collegiate: A College Board School,K493,2021 BERGEN STREET,23,11233,40.674103,-73.913273,21-24
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,361,371,359,K175,Frederick Douglass Academy VII High School,K514,226 BRISTOL STREET,23,11212,40.665878,-73.911705,21-24
23K643,BROOKLYN DEMOCRACY ACADEMY,11,349,338,331,K275,Brooklyn Democracy Academy,K643,985 ROCKAWAY AVENUE,23,11212,40.656068,-73.907245,21-24
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,7,311,371,311,K894,Aspirations Diploma Plus High School,K646,1495 HERKIMER STREET,23,11207,40.67715,-73.903953,21-24
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,350,346,332,K275,Metropolitan Diploma Plus High School,K647,985 ROCKAWAY AVENUE,23,11212,40.656068,-73.907245,21-24
23K697,TEACHERS PREPARATORY HIGH SCHOOL,69,392,416,388,K175,Teachers Preparatory High School,K697,226 BRISTOL STREET,23,11212,40.665878,-73.911705,21-24
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89,405,454,421,Q735,Academy of Finance and  Enterprise,Q264,30-20 THOMSON AVENUE,24,11101,40.745095,-73.936635,21-24
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,413,400,Q735,High School of Applied Communication,Q267,30-20 THOMSON AVENUE,24,11101,40.745095,-73.936635,21-24
24Q293,CIVIC LEADERSHIP ACADEMY,69,404,429,407,Q744,Civic Leadership Academy,Q293,45-10 94TH STREET,24,11373,40.74373,-73.870642,21-24
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55,317,323,311,Q744,Pan American International High School,Q296,45-10 94TH STREET,24,11373,40.74373,-73.870642,21-24
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155,545,568,550,Q735,Bard High School Early College Queens,Q299,30-20 THOMSON AVENUE,24,11101,40.745095,-73.936635,21-24
24Q455,NEWTOWN HIGH SCHOOL,320,383,440,380,Q455,Newtown High School,Q455,48-01 90 STREET,24,11373,40.741122,-73.874721,21-24
24Q485,GROVER CLEVELAND HIGH SCHOOL,241,395,420,396,Q485,Grover Cleveland High School,Q485,21-27 HIMROD STREET,24,11385,40.711033,-73.908814,21-24
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,399,393,385,Q520,Middle College High School at LaGuardia Community,Q520,45-35 VAN DAM STREET,24,11101,40.744412,-73.93364,21-24
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,326,409,329,Q520,International High School at LaGuardia Community C,Q530,45-35 VAN DAM STREET,24,11101,40.744412,-73.93364,21-24
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138,391,403,380,Q456,High School for Arts and Business,Q550,105-25 HORACE HARDING EXPY N,24,11368,40.737427,-73.853178,21-24
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,447,440,Q891,"Robert F. Wagner, Jr. Secondary School for Arts an",Q560,47-07 30TH PLACE,24,11101,40.742839,-73.936782,21-24
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155,417,447,406,Q600,Queens Vocational and Technical High School,Q600,37-02 47 AVENUE,24,11101,40.742205,-73.928219,21-24
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396,445,496,423,Q610,Aviation Career & Technical Education High School,Q610,45-30 36 STREET,24,11101,40.743509,-73.929076,21-24
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58,455,498,443,Q168,"Queens School of Inquiry, The",Q252,158-40 76 ROAD,25,11366,40.724458,-73.810216,25-28
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45,314,417,318,Q189,Flushing International High School,Q263,144-80 BARCLAY AVENUE,25,11355,40.759844,-73.820548,25-28
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,463,392,Q237,East-West School of International Studies,Q281,46-21 COLDEN STREET,25,11355,40.749545,-73.822073,25-28
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63,471,489,481,Q025,World Journalism Preparatory: A College Board Scho,Q285,34-65 192 STREET,25,11358,40.765133,-73.790083,25-28
25Q425,JOHN BOWNE HIGH SCHOOL,558,397,451,395,Q425,John Bowne High School,Q425,63-25 MAIN STREET,25,11367,40.738139,-73.824944,25-28
25Q460,FLUSHING HIGH SCHOOL,347,393,441,382,Q460,Flushing High School,Q460,35-01 UNION STREET,25,11354,40.765166,-73.82789,25-28
25Q467,FLUSHING YABC,9,378,373,344,Q460,Flushing Yabc,Q467,35-01 UNION STREET,25,11354,40.765166,-73.82789,25-28
25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,621,651,638,Q515,Townsend Harris High School,Q525,149-11 MELBOURNE AVENUE,25,11367,40.73439,-73.821392,25-28
25Q540,QUEENS ACADEMY HIGH SCHOOL,17,398,382,388,Q023,Queens Academy High School,Q540,138-11 35 AVENUE,25,11354,40.765162,-73.8288,25-28
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99,431,458,441,Q707,Robert F. Kennedy Community High School,Q670,75-40 PARSONS BOULEVARD,25,11366,40.725603,-73.810697,25-28
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,7,379,421,377,Q792,North Queens Community High School,Q792,141-25 77TH ROAD,25,11367,40.720359,-73.819792,25-28
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888,480,545,489,Q415,Benjamin N. Cardozo High School,Q415,57-00 223RD STREET,26,11364,40.752333,-73.75599,25-28
26Q430,FRANCIS LEWIS HIGH SCHOOL,934,468,539,467,Q430,Francis Lewis High School,Q430,58-20 UTOPIA PARKWAY,26,11365,40.740724,-73.79283,25-28
26Q435,MARTIN VAN BUREN HIGH SCHOOL,334,391,397,384,Q435,Martin Van Buren High School,Q435,230-17 HILLSIDE AVENUE,26,11427,40.733066,-73.738756,25-28
26Q495,BAYSIDE HIGH SCHOOL,708,462,523,464,Q405,Bayside High School,Q495,32-24 CORPORAL KENNEDY STREET,26,11361,40.771755,-73.780296,25-28
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175,425,434,420,Q566,"Queens High School of Teaching, Liberal Arts and t",Q566,74-20 COMMONWEALTH BLVD,26,11426,40.746088,-73.727535,25-28
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87,387,385,373,Q465,Frederick Douglass Academy VI High School,Q260,8-21 BAY 25 STREET,27,11691,40.60201,-73.762795,25-28
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74,432,419,401,Q410,Channel View School for Research,Q262,100-00 BEACH CHANNEL DRIVE,27,11694,40.586066,-73.822624,25-28
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,364,Q465,"Queens High School for Information, Research, and",Q302,8-21 BAY 25 STREET,27,11691,40.60201,-73.762795,25-28
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93,423,426,416,Q202,Robert H. Goddard High School of Communication Art,Q308,138-30 LAFAYETTE STREET,27,11417,40.67124,-73.845141,25-28
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36,367,379,348,Q465,Academy of Medical Technology: A College Board Sch,Q309,8-21 BAY 25 STREET,27,11691,40.60201,-73.762795,25-28
27Q323,SCHOLARS' ACADEMY,89,499,537,496,Q180,Scholars' Academy,Q323,320 BEACH 104TH STREET,27,11694,40.584109,-73.825711,25-28
27Q400,AUGUST MARTIN HIGH SCHOOL,101,377,371,360,Q400,August Martin High School,Q400,156-10 BAISLEY BOULEVARD,27,11434,40.675633,-73.783342,25-28
27Q410,BEACH CHANNEL HIGH SCHOOL,78,384,396,354,Q410,Beach Channel High School,Q410,100-00 BEACH CHANNEL DRIVE,27,11694,40.586066,-73.822624,25-28
27Q475,RICHMOND HILL HIGH SCHOOL,404,382,404,368,Q475,Richmond Hill HS Annex(QS),Q475,94-25 117 Street,27,11419,40.693006,-73.829407,25-28
27Q480,JOHN ADAMS HIGH SCHOOL,403,391,409,392,Q480,John Adams High School,Q480,101-01 ROCKAWAY BOULEVARD,27,11417,40.679639,-73.837298,25-28
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194,429,491,425,Q650,"High School for Construction Trades, Engineering a",Q650,94-06 104TH STREET,27,11416,40.689591,-73.840717,25-28
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68,420,445,400,Q470,Queens Collegiate: A College Board School,Q310,167-01 GOTHIC DRIVE,28,11432,40.713218,-73.797237,25-28
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,6,403,408,367,Q595,Queens Satellite High School for Opportunity,Q338,162-02 HILLSIDE AVENUE,28,11432,40.70848,-73.800065,25-28
28Q350,JAMAICA GATEWAY TO THE SCIENCES,25,430,452,425,Q470,Jamaica Gateway to the Sciences,Q350,167-01 GOTHIC DRIVE,28,11432,40.713218,-73.797237,25-28
28Q440,FOREST HILLS HIGH SCHOOL,762,456,497,454,Q440,Forest Hills High School,Q440,67-01 110 STREET,28,11375,40.729402,-73.845637,25-28
28Q470,JAMAICA HIGH SCHOOL,90,342,368,353,Q470,Jamaica High School,Q470,167-01 GOTHIC DRIVE,28,11432,40.713218,-73.797237,25-28
28Q505,HILLCREST HIGH SCHOOL,462,395,413,386,Q505,Hillcrest High School,Q505,160-05 HIGHLAND AVENUE,28,11432,40.709446,-73.80166,25-28
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,452,478,442,Q620,Thomas A. Edison Career and Technical Education Hi,Q620,165-65 84 AVENUE,28,11432,40.715389,-73.800369,25-28
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,523,502,Q695,Queens Gateway to Health Sciences Secondary School,Q680,160-20 GOETHALS AVENUE,28,11432,40.718831,-73.806499,25-28
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121,612,660,596,Q774,Queens High School for the Sciences at York Colleg,Q687,94-50 159 STREET,28,11433,40.701049,-73.798151,25-28
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74,406,406,384,Q690,High School for Law Enforcement and Public Safety,Q690,116-25 GUY R BREWER BOULEVARD,28,11434,40.686208,-73.784144,25-28
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68,439,445,432,Q680,"Young Women's Leadership School, Queens",Q896,150-91 87 ROAD,28,11432,40.707527,-73.806412,25-28
29Q248,QUEENS PREPARATORY ACADEMY,52,360,380,359,Q420,Queens Preparatory Academy,Q248,143-10 SPRINGFIELD BOULEVARD,29,11413,40.668235,-73.756839,29-32
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46,401,397,375,Q192,Pathways College Preparatory School: A College Boa,Q259,109-89 204 STREET,29,11412,40.70646,-73.753579,29-32
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49,402,398,402,Q420,Excelsior Preparatory High School,Q265,143-10 SPRINGFIELD BOULEVARD,29,11413,40.668235,-73.756839,29-32
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59,436,427,424,Q420,George Washington Carver High School for the Scien,Q272,143-10 SPRINGFIELD BOULEVARD,29,11413,40.668235,-73.756839,29-32
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43,370,367,363,Q420,Preparatory Academy for Writers: A College Board S,Q283,143-10 SPRINGFIELD BOULEVARD,29,11413,40.668235,-73.756839,29-32
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,400,426,394,Q490,"Mathematics, Science Research and Technology Magne",Q492,207- 01 116TH  AVENUE,29,11411,40.697819,-73.745728,29-32
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,385,377,377,Q490,"Law, Government and Community Service High School",Q494,207- 01 116TH  AVENUE,29,11411,40.697819,-73.745728,29-32
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49,379,414,359,Q490,"Business, Computer Applications & Entrepreneurship",Q496,207- 01 116TH  AVENUE,29,11411,40.697819,-73.745728,29-32
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62,393,381,377,Q490,Humanities & Arts Magnet High School,Q498,207- 01 116TH  AVENUE,29,11411,40.697819,-73.745728,29-32
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98,410,440,405,Q404,Academy for Careers in Television and Film,Q301,1-50 51ST AVENUE,30,11101,40.742956,-73.959196,29-32
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395,414,449,412,Q445,William Cullen Bryant High School,Q445,48-10 31 AVENUE,30,11103,40.75823,-73.910514,29-32
30Q450,LONG ISLAND CITY HIGH SCHOOL,392,403,420,395,Q452,Long Island City High School,Q450,14-30 BROADWAY,30,11106,40.765826,-73.9328,29-32
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174,504,496,494,Q570,Frank Sinatra School of the Arts High School,Q501,35-12 35TH AVENUE,30,11106,40.756534,-73.925121,29-32
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148,407,434,398,Q725,Information Technology High School,Q502,21-16 44TH ROAD,30,11101,40.748701,-73.94638,29-32
30Q555,NEWCOMERS HIGH SCHOOL,143,323,475,329,Q450,Newcomers High School,Q555,28-01 41 AVENUE,30,11101,40.751356,-73.937445,29-32
30Q575,ACADEMY OF AMERICAN STUDIES,135,487,492,491,Q451,Academy of American Studies,Q575,28-04 41 AVENUE,30,11101,40.751331,-73.937434,29-32
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61,524,568,544,Q798,Baccalaureate School for Global Education,Q580,34-12 36 AVENUE,30,11106,40.755366,-73.927169,29-32
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137,452,451,450,R043,CSI High School for International Studies,R047,100 ESSEX DRIVE,31,10314,40.581315,-74.158589,29-32
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61,398,412,385,R043,Gaynor McCown Expeditionary Learning School,R064,100 ESSEX DRIVE,31,10314,40.581315,-74.158589,29-32
31R080,THE MICHAEL J. PETRIDES SCHOOL,107,472,488,466,R880,The Michael J. Petrides School,R080,715 OCEAN TERRACE,31,10301,40.608517,-74.102078,29-32
31R440,NEW DORP HIGH SCHOOL,391,424,437,416,R435,New Dorp High School,R440,465 NEW DORP LANE,31,10306,40.569393,-74.107737,29-32
31R445,PORT RICHMOND HIGH SCHOOL,271,424,438,417,R445,Port Richmond High School,R445,85 ST JOSEPHS AVENUE,31,10302,40.634573,-74.141818,29-32
31R450,CURTIS HIGH SCHOOL,375,437,435,429,R450,Curtis High School,R450,105 HAMILTON AVENUE,31,10301,40.644735,-74.081222,29-32
31R455,TOTTENVILLE HIGH SCHOOL,807,462,486,470,R455,Tottenville High School,R455,100 LUTEN AVENUE,31,10312,40.528092,-74.192032,29-32
31R460,SUSAN E. WAGNER HIGH SCHOOL,535,455,474,459,R460,Susan E. Wagner High School,R460,1200 MANOR ROAD,31,10314,40.596803,-74.124227,29-32
31R470,CONCORD HIGH SCHOOL,10,466,455,414,R470,Concord High School,R470,109 RHINE AVENUE,31,10304,40.610868,-74.087379,29-32
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397,R600,Ralph R. McKee Career and Technical Education High,R600,290 ST MARKS PLACE,31,10301,40.642793,-74.07873,29-32
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227,635,682,636,R440,Staten Island Technical High School,R605,485 CLAWSON STREET,31,10306,40.567873,-74.115373,29-32
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10,405,375,370,R455,Staten Island Yabc,R607,100 LUTEN AVENUE,31,10312,40.528092,-74.192032,29-32
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50,380,366,352,K480,Academy for Environmental Leadership,K403,400 IRVING AVENUE,32,11237,40.69697,-73.910791,29-32
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEBUSHWICK,88,384,409,361,K913,EBC High School for Public Service - Bushwick,K545,1155 DEKALB AVENUE,32,11221,40.694507,-73.929107,29-32
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,334,K480,Bushwick School for Social Justice,K549,400 IRVING AVENUE,32,11237,40.69697,-73.910791,29-32
32K552,ACADEMY OF URBAN PLANNING,67,342,364,354,K480,Academy of Urban Planning,K552,400 IRVING AVENUE,32,11237,40.69697,-73.910791,29-32
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39,428,465,422,K554,All City Leadership Secondary School,K554,321 PALMETTO STREET,32,11237,40.69737,-73.913171,29-32
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,347,358,350,K865,Bushwick Leaders High School for Academic Excellen,K556,797 BUSHWICK AVENUE,32,11221,40.695056,-73.92814,29-32
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,24,359,317,358,K291,Bushwick Community High School,K564,231 PALMETTO STREET,32,11221,40.695362,-73.915142,29-32
75Q811,P.S. Q811,32,429,444,433,Q811,P.S. Q811,Q811,61-25 MARATHON PARKWAY,26,11362,40.756778,-73.729487,25-28
79Q950,GED PLUS s CITYWIDE,8,496,400,426,Q733,Pathways to Graduation,Q950,90-01 SUTPHIN BOULEVARD,28,11435,40.70284,-73.808352,25-28
